Product,Subtitle,Price,Shipping_Cost,Shipping_Country,Rating,Bids,Bid_Time_Left,Product_Url
"Dell Latitude 5404 14"" i5-4310U 2.0GHz 8GB No HDD Rugged Laptop (F5052)",Pre-Owned · Dell,$129.95,+$131.50 ,United States,Time left,0 bids,6d 6h left,https://www.ebay.com/itm/363691003133?hash=item54adac4cfd:g:FxIAAOSwbTRh4fKM
"Dell Inspiron 15- 3558 15.6"" (i3 5th Gen, 4GB RAM, 2.10GHZ, 1TB HD) Notebook",Pre-Owned · Dell · 1 TB,$199.00,+$189.00 ,United States,,,,https://www.ebay.com/itm/224791373692?hash=item34569c277c:g:hGcAAOSwZf9h4iAE
Dell R730 8B LFF 2x 2.20GHz 12-Core Intel Xeon E5-2650 v4 256GB RAM,Refurbished,"$1,049.99",+$413.19 ,United States,5.0,,,https://www.ebay.com/itm/384619006152?epid=28029958233&hash=item598d1448c8:g:iskAAOSwQThhwOIf
"Dell Latitude 5414 14"" i7-6600U 2.6GHz 8GB No HDD Rugged Laptop (F5048)",Pre-Owned · Dell,$129.95,+$131.50 ,United States,Time left,1 bid,6d 6h left,https://www.ebay.com/itm/373875617142?hash=item570cb92d76:g:JO4AAOSwVNRh4fBy
"Dell Latitude 7400 Laptop i5-8265U 16GB 256GB M.2 SSD 14"" FHD Dell 7400 Win10",Pre-Owned · Dell,$399.00,+$159.00 ,United States,,,,https://www.ebay.com/itm/255333160063?hash=item3b730ad47f:g:pDAAAOSwcPZh4qei
DELL X7HFF Extended Module Port replicator Latitude 12 Rugged Tablet 7202 7212 +,Brand New,$59.99,+$37.94 ,United States,5.0,,,https://www.ebay.com/itm/254377249956?epid=1065081316&hash=item3b3a10cca4:g:yC0AAOSwmexdlP1W
Dell Latitude E6530 Laptop Intel Core i7-3540M 8GB-RAM 240GB SSD Windows 10 Pro,Pre-Owned · Dell · 500 GB,$299.99,+$87.00 ,United States,5.0,,,https://www.ebay.com/itm/154796302619?epid=2322115064&hash=item240a94211b:g:cQYAAOSwc~xh4lTC
"Dell Latitude 5404 14"" i5-4310U 2.0GHz 8GB No HDD Rugged Laptop (F5050)",Pre-Owned · Dell,$129.95,+$131.50 ,United States,Time left,0 bids,6d 6h left,https://www.ebay.com/itm/373875622532?hash=item570cb94284:g:gvIAAOSwBRVh4fEd
"Dell Latitude 5411 -14"" FHD - 2.7GHz Intel Core i7-10850H Six-Core -16GB WTY 25",Open Box · Dell,$974.00,+$74.00 ,United States,,,,https://www.ebay.com/itm/353856600433?hash=item52637f3971:g:~CcAAOSwo~Rh4Nf0
"Dell E5430 14"" Laptop 2.5 GHz i5-3210M 4GB RAM (Grade C No Caddy, Optical Drive)",Pre-Owned · Dell,$105.00,+$99.04 ,United States,5.0,,,https://www.ebay.com/itm/133745596422?epid=1373647594&hash=item1f23dbd806:g:SkkAAOSwr1hgiszV
"Dell CRM31201207BLK 11.6"" (16 GB eMMC, Intel Celeron, 2.16 GHz, 4 GB) - Chromebo",Pre-Owned · Dell · 16 GB,$19.99,+$101.25 ,United States,4.5,,,https://www.ebay.com/itm/393873114615?epid=1666039985&hash=item5bb4aac5f7:g:We8AAOSwo25h4gC8
Dell Curved Gaming Monitor 34” WQHD 3440x1440 S3422DWG,Brand New,$500.00,Shipping not specified,United States,,,,https://www.ebay.com/itm/175109251783?hash=item28c55322c7:g:2mgAAOSwpVdh4LBl
laptop,Pre-Owned · Dell,$200.00,+$8.00 ,United States,,,,https://www.ebay.com/itm/363613532970?hash=item54a90e332a:g:yhkAAOSw9~thhfoQ
Dell Latitude Laptop Computer Windows 10 Dual Core PC 4GB 160GB WiFi HD Notebook,Refurbished · Dell · 160 GB,$134.99,Shipping not specified,United States,Previous Price,,,https://www.ebay.com/itm/283189428608?_trkparms=ispr%3D1&hash=item41ef67c180:g:v4QAAOSwNixcwJO0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2ONx6l9WFWh4u2oKJoT1rqfZ7F1vFPbZfxJo7PpzY%252Bpye7H11RnDLMPSF9Qr17ILUVsUXa8sg2IDewvS0kwAD5tV6KgGjAxeXQN1TW21uoOZY4WeelU9os2Y6hS84yHD2PsX%252FuX90nbkxXEUfJhzRYncuBmX91rRaglKTICfWSfDdBqbpzoHisiHt0D56z2C2MnL5Yd9DOTRhLtKl57KFerFSzadHwEFi68bopYETZRuuv3u5W20jQ%252Bb2j3UwabaO%252Fe8EW50NoKCpTRwmaWZmSfYUrxQrysrYLp7rFeJCW5ZXdedbMvhUL10KY4hja5h0qjHv%252BEOYpozmIkgKWQFuT61SIsfSV%252FYGPuuiVtWanRTeFKrs2mGq%252FLvIqDvP47xObv4n3tGnVj5t8m9VWoGSsAnQxMAB0ql3Mlsz4sk115dZeiiXyEwCIralJVyCjPXImf8aVKrGSnViUVINEyo%252BIrDVkcnibHNUKev4EhLKisojUM%252FjMtqlTBPi1%252Fucbv262kyzpC%252BVCVDG32mtYHC2pTAFTCnVb5juq9TOXRs84AisQyChJWq4ZOa8ja8Tycri8gK3hTCF%252F1wunk%252Fpid4MekHHbov4zrcvSB8RuxZz8sh57Mq%252BolFWNLn%252FW4xrjAK38sH5PJi%252BYrsBRVLJSpd5MJfEYamlHNdm%252BZXTD4r7MMqs3w%252Fxu%252B7d%252BMtn1kFNn3skco14dSpEL1XRcJMW%252FeQqmFqQSywrv0aFnTmYq7199CKHr%252BQOi2ySCx2w5PJSwA%252BctAuj2bavZxvaFRcALT2K0U2Em59FEConyqiJ5YbbX%252Ft%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
"Dell Latitude E5430 14"" Laptop 2.5 GHz i5-3210M 4GB RAM (Grade C No Webcam)",Pre-Owned · Dell,$110.00,+$99.04 ,United States,5.0,,,https://www.ebay.com/itm/133715958976?epid=1373647594&_trkparms=ispr%3D1&hash=item1f22179cc0:g:uDkAAOSwwk5gayRo&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSHYXPhGXR5uguexJBeHwfgQZqDgw5%252FsE1OJmb7Sa640AHlAEHdbsXW7tIgV2rGxFIZDMJAtGHS%252FkkC514%252BeuMN5uv8LzsmBLhj4a3LM%252BILnXO399pSf1tehaNA7yjvPydm%252BmvzEo9H%252FSiVa%252BfzHVo5KgwlnYWyF7eAa6zfPRgaShwRpB4b1tV72M2nNqG3Q%252BU7H00UcvO9germMXJBWYRPDwfjZ7qg0w9ByeTEN6YdEhvt5XMgYoy3%252FBVtbcT3Z4K2pOKBtQCTvzvUDY2GM2fH%252BfinkIbOozsHc9RBb8Kjffy%252FYdyGGSlIl9x4CAqEd9xlV3TQ1oi9h4gKs4n3x2zkP3o1kHvaGBat1XtCKI1t6C29LQk54rS%252Bt5WpTbR5kqc1cBfio2dnHdzVTn9CEDhwAjPQmbGc3FNLi%252FtrRfeNri5B%252BNKLlVuFPKx6GrG1f0xzOI30qUf8iQj%252BCDD6CavBwV%252Ft69QDxndwbNq6EX10MGX7ox0eZK1N0xlmdKm4m7m7t5UfQ9g2ZtxHlUAMU4mHsOT1G8SDfgDb05NeecfpAD0BquUhJK32kd2uVzH8UwEn0hq1MFF69vgJmFq7C4iYI1PxtwtZ7ns2FL1On20aCaIyNMTmwYJjvF%252FWL5QCXbIQTs5k04kPX2MLvfCIgJZ9yLfo%252BjErQK%252FE6m2H99gRIfcYBFE6G5HqXlO9S5AabBjzWLmS1k31mRaanLeXNqIbsOfhyt0%252F8awAh1E1uJpcle%252Fb81HKc7LqQrTcGlm2Au5NKjOZ0Rlj139mAS3cEYkKmkZefqGz%252B%252BHIiC5D3g2DPoLCDfdu4KdUfbiYvru2M5M%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Inspiron 1501 15.4'' Notebook (Mobile AMD Smepron 3500+ 512MB) NO HDD AS IS,Parts Only · Dell,$40.45,+$94.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274683046426?_trkparms=ispr%3D1&hash=item3ff462aa1a:g:hHkAAOSwbhFfiO0i&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6t2MOnjhQcVRIX1DT1BPBdioksSN9hGv9wtnJznJZPr43A4S7iii7RK4Y%252B0YNxIMj26a%252FMAvfSepl%252FL7h94rPuAEdERCDHpRjAF%252F1%252FNsI10lJ%252Bn0dkKEuEKzl6j80Aa%252F8qQJa6kNTiCvQMDEIuLS2rKLMJ1QH4GI45%252BdNL1%252FobPhmfWjES5v2X0BPMZ3OX6ZUqrgqdJtd8RMQUt868hG5TwGk1zuLENqEOGD0AGwGnurFPeARGr6uJXLoHR2B4g1B9juF65UCtW0VmEL4UUwcpxJgNcDBfMzabkgqm22jfD%252BOamZNrB6bQ7nPDoa%252FkuiuyUN1dPykgGU%252Fded23B%252BpPtzBS8pT7mfeiGmvx4oalFSK2Z47Q7l%252BcZxP7f8G1Ve9D7Qnl0QoC0HOHm5KuBIv6XjeDpAjzvDlVR3uLvdugO7WA0aFdpHhpbjlm68QlswTZOiULotP3E%252Ba%252FwlL4fN10GwhK6PXsC%252B88rX3o1H%252BnmrRVXclh3QnDy8ZFCi93Y1CoR2PPKHv8FwXC8VfcEWsytSCgaLTzAyQwDA%252F5hzD9iy1fUxO0iLZuIpA0Cxw9tnZGWEe21bR%252BuePc26e5qTNzulBueotOT0h2AJ1hh98RGw2vjeYwDid5hyazzIxarIHFxLIMWfwBmeq49Cf8rQuChHvMFtk9VyFUNd4OL%252FC5MbvhcICgQv67KnTe3bJeiNg1aHqoD0zThL8zRoN%252BNkeVIaayQvNEpozlB2Jflc3w7aTIk0eNmEjnXrFuqM7zrqOE4FgFwE8HbfD4tDJOlT%252BR%252FaQf%252FQGUSzQGgXUYNOgnsm%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
"Dell - Inspiron 7000 2-in-1 - 15.6"" 4K UHD Touch-Screen Laptop - Intel Core i7 -",Pre-Owned · Dell,"$1,289.99",+$305.42 ,United States,,,,https://www.ebay.com/itm/373808247136?hash=item5708b53160:g:PtkAAOSw5ulho7e0
"Dell Latitude 5480 Laptop- 192GB SSD, 8GB RAM, Intel i5 CPU, Windows 10 Pro",Pre-Owned · Dell · 192 GB,$329.99,+$111.50 ,United States,,,,https://www.ebay.com/itm/324800663237?hash=item4b9fa0cec5:g:v78AAOSwjChh3xHY
"Same Day, Dell iDRAC9 Enterprise License, 14G PowerEdge R740/R640/R540/R440/R340",Brand New,$29.00,Free International Shipping,Taiwan,Top Rated Seller,,,https://www.ebay.com/itm/234144731268?hash=item36841d1084:g:q2EAAOSwl5hf67dt
"Dell Latitude E7470 14"" Laptop Intel Core i7-6600U 2.60GHz 8GB RAM 256GB SSD",Pre-Owned · Dell,$199.99,Shipping not specified,United States,Top Rated Seller,0 bids,6d 5h left,https://www.ebay.com/itm/133994831030?hash=item1f32b6dcb6:g:UbAAAOSwkZBh4eRb
