Title,Sub Title,Price,Discount Price,Shipping Price,Shipping From,Url
Shop on eBay,Brand New,$20.00,,,,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Apple MacBook Pro 13 | MacOS Big Sur 2020 | 16GB RAM | 1TB SSD | WARRANTY |,Pre-Owned,$574.99,10% off,+$99.99 , United States,https://www.ebay.com/itm/154201477676?hash=item23e71fd22c:g:dHQAAOSwKepfzlE8&amdata=enc%3AAQAHAAAA4EKgzyeiWV7dhJk3nmqAsirWeJCws2uOXPUkEBFz54STC7%2F%2F7H2YlI1EITTRtIeDrNvYyn2yHcqpWkCGfLeZ4%2BCDM0J6zQHcv55Y8I1IDeQsv3ZdVfV%2BwY44VjFNYF%2F%2Fse4spIwgf3R03LOkBHMMMGYID9eAcYQBMEL5r1T7iFEtysmVGsha12OStCTcqIx1SBRsL3U5zIiTm8KjNn4tvJCSyp%2FaOx7qSkWjm5goNwxGzIY7dPkMqnqOOufK1aXFVh6ex7pNhvu%2FzFH0S0gV0ATzWLbQEQ4u2pcKdhybj6%2Fr%7Ctkp%3ABFBM8sTdkp9g
Apple MacBook Pro 13-Inch 2.5GHz Intel Core i5 4GB RAM 128GB SSD (Mid-2012),Pre-Owned,$150.00,,+$84.55 , United States,https://www.ebay.com/itm/334419615812?hash=item4ddcf66044:g:RKoAAOSwIfBiZ-uG
Apple A1706 MacBook Pro Touch Bar Core i5 8GB 256GB SSD Laptop - Silver,Pre-Owned,$335.00,,+$51.00 , United States,https://www.ebay.com/itm/275313349411?epid=3034916224&hash=item4019f45323:g:n5wAAOSwotFigX5G
"Apple MacBook Pro A1708 13"" (128GB, Intel Core i5, 2.3 GHz, 8 GB) Laptop - MPXQ2",Pre-Owned,$339.99,,+$22.00 , United States,https://www.ebay.com/itm/363848795089?epid=238194934&hash=item54b71403d1:g:7WAAAOSwmPVii~Qw
"2017 Apple MacBook Pro 15"" A1707 i7 7700HQ 2.8GHz 16GB 512GB SSD Touch Bar ""A""",Pre-Owned,$699.00,,+$110.85 , United States,https://www.ebay.com/itm/325124758377?hash=item4bb2f21b69:g:jQcAAOSwkYNg3JdO
"Apple MacBook Air 11in ( 128GB SSD, Intel Core I7-5650U, 2.2GHz, 8GB RAM) Laptop",Pre-Owned,$158.50,,+$25.00 , United States,https://www.ebay.com/itm/165497332586?epid=5045673283&hash=item268868e36a:g:NU4AAOSwsH1ijC-G
"Apple MacBook Pro 13"" A1708 Intel i5 7360U 2.30 Ghz 8 GB Ram 128 SSD",Pre-Owned,$420.00,,+$260.67 , United States,https://www.ebay.com/itm/203925600156?hash=item2f7ae9b79c:g:CYUAAOSwWoBiWa4I
"Apple MacBook Pro 16"" (1TB SSD, Intel Core i9, 2.30 GHz, 16GB) Laptop",Open Box,"$1,350.00",,+$76.75 , United States,https://www.ebay.com/itm/134117869754?epid=6035192020&hash=item1f3a0c48ba:g:lRkAAOSw~I9ifaBU
"13"" MacBook Pro 2017, Two Thunderbolt 3 Ports - Space Gray - 128 GB SSD, 8GB RAM",Pre-Owned,$400.00,,+$58.35 , United States,https://www.ebay.com/itm/354066563437?epid=18048649662&hash=item527003016d:g:VjQAAOSwh-BihXVf
